test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.3, 0.3, 4797, 45.10579323768616, 41.87633180618286, 3.229461431503296, 0.0% 
./sample_data/artificial/testlog_0806_1_90.csv, 0.3, 0.3, 4911, 44.498329162597656, 41.251537799835205, 3.246791362762451, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.3, 0.3, 2228, 21.82171893119812, 18.78688955307007, 3.0348293781280518, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.3, 0.3, 3481, 30.533496141433716, 27.476016521453857, 3.0574796199798584, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.3, 0.3, 4760, 40.75122380256653, 37.50806188583374, 3.243161916732788, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.3, 0.3, 5452, 49.86268973350525, 46.58285665512085, 3.2798330783843994, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.3, 0.3, 6557, 60.293920040130615, 56.94957876205444, 3.344341278076172, 0.0% 
./sample_data/artificial/testlog_0806_1_140.csv, 0.3, 0.3, 8064, 68.94885754585266, 65.5293173789978, 3.4195401668548584, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.0, 0.0, 2057, 21.55964994430542, 18.53763461112976, 3.022015333175659, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.0, 0.0, 3204, 30.893686771392822, 27.852559566497803, 3.0411272048950195, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.0, 0.0, 4131, 40.85357928276062, 37.719544649124146, 3.1340346336364746, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.0, 0.0, 4835, 50.23586630821228, 47.01421284675598, 3.221653461456299, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.0, 0.0, 5931, 60.215375900268555, 56.910715103149414, 3.3046607971191406, 0.0% 
./sample_data/artificial/testlog_0806_1_140.csv, 0.0, 0.0, 7324, 69.2588140964508, 65.97350287437439, 3.285311222076416, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.0, 0.1, 2092, 21.85507822036743, 18.841532230377197, 3.0135459899902344, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.0, 0.1, 3179, 30.656230211257935, 27.53461527824402, 3.121614933013916, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.0, 0.1, 4135, 40.53631329536438, 37.37038040161133, 3.1659328937530518, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.0, 0.1, 4837, 50.265480756759644, 47.01078009605408, 3.2547006607055664, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.0, 0.1, 5902, 59.833898067474365, 56.4946665763855, 3.339231491088867, 0.0% 
./sample_data/artificial/testlog_0806_1_140.csv, 0.0, 0.1, 7472, 69.2455940246582, 65.94556760787964, 3.3000264167785645, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.0, 0.2, 2056, 22.007913827896118, 18.88364553451538, 3.1242682933807373, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.0, 0.2, 3194, 31.608860731124878, 28.35071635246277, 3.2581443786621094, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.0, 0.2, 4093, 40.65568947792053, 37.27412295341492, 3.3815665245056152, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.0, 0.2, 4798, 50.1903600692749, 46.872581481933594, 3.3177785873413086, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.0, 0.2, 5932, 60.30630660057068, 56.85908007621765, 3.4472265243530273, 0.0% 
./sample_data/artificial/testlog_0806_1_140.csv, 0.0, 0.2, 7365, 68.98535561561584, 65.59347748756409, 3.391878128051758, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.0, 0.3, 2057, 21.910822868347168, 18.8263041973114, 3.0845186710357666, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.0, 0.3, 3175, 31.296020030975342, 28.19714069366455, 3.098879337310791, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.0, 0.3, 4177, 40.53341770172119, 37.350571155548096, 3.1828465461730957, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.0, 0.3, 4838, 50.06092953681946, 46.7922568321228, 3.2686727046966553, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.0, 0.3, 5910, 59.41012144088745, 56.128299951553345, 3.2818214893341064, 0.0% 
./sample_data/artificial/testlog_0806_1_140.csv, 0.0, 0.3, 7396, 70.34052515029907, 66.91942048072815, 3.421104669570923, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.0, 0.4, 2061, 21.95963215827942, 18.809656858444214, 3.149975299835205, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.0, 0.4, 3152, 31.193872451782227, 28.111661672592163, 3.0822107791900635, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.0, 0.4, 4150, 40.94801139831543, 37.787921667099, 3.1600897312164307, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.0, 0.4, 4872, 49.751473903656006, 46.55174207687378, 3.1997318267822266, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.0, 0.4, 5936, 60.24492144584656, 57.01161050796509, 3.2333109378814697, 0.0% 
./sample_data/artificial/testlog_0806_1_140.csv, 0.0, 0.4, 7372, 69.33637690544128, 66.01588416099548, 3.320492744445801, 0.0% 
./sample_data/artificial/testlog_0806_1_40.csv, 0.0, 0.5, 2102, 21.759042739868164, 18.746535539627075, 3.012507200241089, 0.0% 
./sample_data/artificial/testlog_0806_1_60.csv, 0.0, 0.5, 3190, 30.98059606552124, 27.9310302734375, 3.0495657920837402, 0.0% 
./sample_data/artificial/testlog_0806_1_80.csv, 0.0, 0.5, 4198, 40.70748162269592, 37.497841358184814, 3.2096402645111084, 0.0% 
./sample_data/artificial/testlog_0806_1_100.csv, 0.0, 0.5, 4869, 50.6702299118042, 47.388075828552246, 3.282154083251953, 0.0% 
./sample_data/artificial/testlog_0806_1_120.csv, 0.0, 0.5, 5897, 59.72453474998474, 56.50046253204346, 3.224072217941284, 0.0% 
